id,methodtext,lab,detection limit,result value,labtestid,method,lower confidence limit,testmethodname,labstestmethod,cost,analytename,analytecode,standard uncertainty,upper confidence limit,rain previously,water clarity,field technician,rain,project,councilsampleid,water colour,meter number,analysts comments,wind direction,wind strength,archived,lab sample id,run number,visual observation method,site is dry,sampletype,make & model,flow/water level,qc comment,survey123 imported,qualitycode,labs comment,registration e-mail sent to hills,lab electronically notified,councilsiteid,lawasiteid,council,agency,callname,lawaname
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SQ34859,LAWA-103584,ecan,ecan,Ammoniacal Nitrogen,NH4N
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SQ34859,LAWA-103584,ecan,ecan,E. coli,ECOLI
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SQ34859,LAWA-103584,ecan,ecan,pH,pH
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SQ34859,LAWA-103584,ecan,ecan,pH (Field),pH
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SQ34859,LAWA-103584,ecan,ecan,Chlorophyll a (planktonic),CHLA
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SQ34859,LAWA-103584,ecan,ecan,"Cyanobacteria biovolume, Potentially toxic",CYANOTOX
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SQ34859,LAWA-103584,ecan,ecan,Secchi Disk,Secchi
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SQ34859,LAWA-103584,ecan,ecan,"Cyanobacteria biovolume, Total",CYANOTOT
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SQ34893,LAWA-103589,ecan,ecan,Chlorophyll a (planktonic),CHLA
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SQ34893,LAWA-103589,ecan,ecan,Ammoniacal Nitrogen,NH4N
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SQ34859,LAWA-103584,ecan,ecan,Total Nitrogen,TN
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SQ34859,LAWA-103584,ecan,ecan,Total Phosphorus,TP
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SQ34893,LAWA-103589,ecan,ecan,E. coli,ECOLI
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SQ34893,LAWA-103589,ecan,ecan,pH (Field),pH
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SQ34893,LAWA-103589,ecan,ecan,"Cyanobacteria biovolume, Total",CYANOTOT
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SQ34893,LAWA-103589,ecan,ecan,Secchi Disk,Secchi
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SQ34893,LAWA-103589,ecan,ecan,"Cyanobacteria biovolume, Potentially toxic",CYANOTOX
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SQ34893,LAWA-103589,ecan,ecan,pH,pH
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SQ34893,LAWA-103589,ecan,ecan,Total Nitrogen,TN
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SQ34893,LAWA-103589,ecan,ecan,Total Phosphorus,TP
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SQ34846,LAWA-103579,ecan,ecan,Secchi Disk,Secchi
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SQ34846,LAWA-103579,ecan,ecan,pH,pH
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SQ34846,LAWA-103579,ecan,ecan,"Cyanobacteria biovolume, Potentially toxic",CYANOTOX
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SQ34846,LAWA-103579,ecan,ecan,"Cyanobacteria biovolume, Total",CYANOTOT
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SQ34846,LAWA-103579,ecan,ecan,pH (Field),pH
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SQ34887,LAWA-103588,ecan,ecan,E. coli,ECOLI
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SQ34887,LAWA-103588,ecan,ecan,pH (Field),pH
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SQ34887,LAWA-103588,ecan,ecan,pH,pH
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SQ34887,LAWA-103588,ecan,ecan,"Cyanobacteria biovolume, Potentially toxic",CYANOTOX
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SQ34887,LAWA-103588,ecan,ecan,"Cyanobacteria biovolume, Total",CYANOTOT
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SQ34887,LAWA-103588,ecan,ecan,Secchi Disk,Secchi
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SQ35082,LAWA-103591,ecan,ecan,Ammoniacal Nitrogen,NH4N
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SQ35082,LAWA-103591,ecan,ecan,Chlorophyll a (planktonic),CHLA
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SQ35082,LAWA-103591,ecan,ecan,pH (Field),pH
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SQ35082,LAWA-103591,ecan,ecan,pH,pH
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SQ35082,LAWA-103591,ecan,ecan,"Cyanobacteria biovolume, Potentially toxic",CYANOTOX
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SQ35082,LAWA-103591,ecan,ecan,Secchi Disk,Secchi
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SQ35082,LAWA-103591,ecan,ecan,"Cyanobacteria biovolume, Total",CYANOTOT
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SQ35082,LAWA-103591,ecan,ecan,Total Nitrogen,TN
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SQ35082,LAWA-103591,ecan,ecan,Total Phosphorus,TP
